1,AB,CO93
1,AB,CO94
1,AB,CO95
1,AB,CO96
1,AB,CO97
1,AB,CO98
1,AB,DN28
1,AB,DN29
1,AB,DN38
1,AB,DN39
1,AB,DN48
1,AB,DN49
1,AB,DO02
1,AB,DO03
1,AB,DO04
1,AB,DO05
1,AB,DO06
1,AB,DO07
1,AB,DO08
1,AB,DO09
1,AB,DO11
1,AB,DO12
1,AB,DO13
1,AB,DO14
1,AB,DO15
1,AB,DO16
1,AB,DO17
1,AB,DO18
1,AB,DO19
1,AB,DO20
1,AB,DO21
1,AB,DO22
1,AB,DO23
1,AB,DO24
1,AB,DO25
1,AB,DO26
1,AB,DO27
1,AB,DO28
1,AB,DO29
1,AB,DO30
1,AB,DO31
1,AB,DO32
1,AB,DO33
1,AB,DO34
1,AB,DO35
1,AB,DO36
1,AB,DO37
1,AB,DO38
1,AB,DO39
1,AB,DO40
1,AB,DO41
1,AB,DO42
1,AB,DO43
1,AB,DO44
1,AB,DO45
1,AB,DO46
1,AB,DO47
1,AB,DO48
1,AB,DO49
1,AB,DO55
1,AB,DO56
1,AB,DO57
1,AB,DO58
1,AB,DO59
1,AB,DP00
1,AB,DP10
1,AB,DP20
1,AB,DP30
1,AB,DP40
1,AB,DP50
1,BC,CN69
1,BC,CN78
1,BC,CN79
1,BC,CN88
1,BC,CN89
1,BC,CN98
1,BC,CN99
1,BC,CO09
1,BC,CO18
1,BC,CO19
1,BC,CO28
1,BC,CO29
1,BC,CO32
1,BC,CO33
1,BC,CO34
1,BC,CO36
1,BC,CO37
1,BC,CO38
1,BC,CO39
1,BC,CO41
1,BC,CO42
1,BC,CO43
1,BC,CO44
1,BC,CO45
1,BC,CO46
1,BC,CO47
1,BC,CO48
1,BC,CO49
1,BC,CO50
1,BC,CO51
1,BC,CO52
1,BC,CO53
1,BC,CO54
1,BC,CO55
1,BC,CO56
1,BC,CO57
1,BC,CO58
1,BC,CO59
1,BC,CO60
1,BC,CO61
1,BC,CO62
1,BC,CO63
1,BC,CO64
1,BC,CO65
1,BC,CO66
1,BC,CO67
1,BC,CO68
1,BC,CO69
1,BC,CO70
1,BC,CO71
1,BC,CO72
1,BC,CO73
1,BC,CO74
1,BC,CO75
1,BC,CO76
1,BC,CO77
1,BC,CO78
1,BC,CO79
1,BC,CO80
1,BC,CO81
1,BC,CO82
1,BC,CO83
1,BC,CO84
1,BC,CO85
1,BC,CO86
1,BC,CO87
1,BC,CO88
1,BC,CO89
1,BC,CO90
1,BC,CO91
1,BC,CO92
1,BC,CO93
1,BC,CO94
1,BC,CO95
1,BC,CO96
1,BC,CO97
1,BC,CO98
1,BC,CO99
1,BC,CP00
1,BC,CP10
1,BC,CP20
